location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Asahikawa,43.760983,142.3414,117.0,0,GMT,GMT
1,Furano,43.33919,142.41017,172.0,0,GMT,GMT
2,Nayoro,44.32337,142.4312,97.0,0,GMT,GMT
3,Shimukappu,43.128292,142.71237,801.0,0,GMT,GMT

location_id,time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
0,2021-09-05,23.3,11.0,0.20,0.20,0.00,2.0,12.4,25.6
0,2021-09-06,23.1,10.7,0.00,0.00,0.00,0.0,11.2,25.9
0,2021-09-07,23.8,15.0,0.00,0.00,0.00,0.0,7.9,18.0
0,2021-09-08,20.8,13.4,3.30,3.30,0.00,5.0,16.7,36.7
0,2021-09-09,20.5,14.9,5.60,5.60,0.00,9.0,6.9,32.0
0,2021-09-10,24.7,14.5,0.00,0.00,0.00,0.0,10.0,22.0
0,2021-09-11,26.2,16.3,5.50,5.50,0.00,9.0,13.3,28.4
0,2021-09-12,22.2,13.6,13.60,13.60,0.00,20.0,21.2,50.0
0,2021-09-13,17.4,7.3,0.20,0.20,0.00,2.0,21.7,44.3
0,2021-09-14,18.5,8.2,0.00,0.00,0.00,0.0,13.5,31.7
0,2021-09-15,19.1,6.2,0.00,0.00,0.00,0.0,12.1,29.2
0,2021-09-16,20.4,12.6,0.00,0.00,0.00,0.0,11.9,24.8
0,2021-09-17,21.8,13.6,3.60,3.60,0.00,5.0,16.2,36.4
0,2021-09-18,18.9,11.0,2.20,2.20,0.00,5.0,8.7,18.4
0,2021-09-19,21.8,10.4,0.10,0.10,0.00,1.0,16.2,34.9
0,2021-09-20,19.8,7.8,0.00,0.00,0.00,0.0,13.7,29.2
0,2021-09-21,22.6,13.5,0.00,0.00,0.00,0.0,13.2,28.1
0,2021-09-22,21.7,15.6,8.90,8.90,0.00,16.0,14.5,29.9
0,2021-09-23,22.6,11.6,31.20,31.20,0.00,21.0,19.6,41.0
0,2021-09-24,17.1,8.2,0.00,0.00,0.00,0.0,18.4,42.1
0,2021-09-25,17.9,7.2,0.00,0.00,0.00,0.0,9.7,23.0
